EmployeeNumber,Age,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,StandardHours,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39,33,Research & Development,2,3,Medical,Male,Laboratory Technician,1,Single,2496,6670,4,1,80,0,7,1,1,0,0
40,44,Research & Development,10,4,Other,Male,Healthcare Representative,2,Married,6465,19121,2,1,80,0,9,4,2,1,3
41,30,Research & Development,9,2,Medical,Male,Laboratory Technician,1,Single,2206,16117,1,1,80,0,10,10,0,1,8
42,39,Sales,5,3,Technical Degree,Male,Sales Representative,2,Married,2086,3335,3,1,80,1,19,1,0,0,0
45,24,Research & Development,1,3,Medical,Male,Research Scientist,1,Married,2293,3020,2,1,80,1,6,2,0,2,0
46,43,Research & Development,2,2,Medical,Female,Research Scientist,1,Divorced,2645,21923,1,1,80,2,6,5,3,1,4
47,50,Sales,3,2,Marketing,Male,Sales Representative,1,Married,2683,3810,1,1,80,0,3,3,2,0,2
49,35,Sales,2,3,Marketing,Female,Sales Representative,1,Married,2014,9687,1,1,80,0,2,2,2,2,2
51,36,Research & Development,5,4,Life Sciences,Female,Research Scientist,1,Married,3419,13072,9,1,80,1,6,1,1,0,0
52,33,Sales,1,3,Life Sciences,Female,Sales Executive,2,Married,5376,3193,2,1,80,2,10,5,3,1,3
53,35,Research & Development,4,2,Other,Male,Laboratory Technician,1,Divorced,1951,10910,1,1,80,1,1,1,0,0,0
54,27,Research & Development,2,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2341,19715,1,1,80,1,1,1,0,0,0
55,26,Research & Development,25,3,Life Sciences,Male,Laboratory Technician,1,Single,2293,10558,1,1,80,0,1,1,0,0,1
56,27,Sales,8,3,Life Sciences,Male,Sales Executive,3,Single,8726,2975,1,1,80,0,9,9,8,1,7
57,30,Research & Development,1,2,Medical,Female,Laboratory Technician,2,Single,4011,10781,1,1,80,0,12,12,8,3,7
58,41,Research & Development,12,3,Technical Degree,Female,Research Director,5,Married,19545,16280,1,1,80,0,23,22,15,15,8
60,34,Sales,23,4,Marketing,Male,Sales Executive,2,Single,4568,10034,0,1,80,0,10,9,5,8,7
61,37,Research & Development,19,2,Life Sciences,Male,Research Scientist,1,Married,3022,10227,4,1,80,0,8,1,0,0,0
62,46,Sales,5,4,Marketing,Male,Sales Executive,2,Single,5772,20445,4,1,80,0,14,9,6,0,8
63,35,Research & Development,8,1,Life Sciences,Male,Laboratory Technician,1,Married,2269,4892,1,1,80,0,1,1,0,0,1
64,48,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,3,Single,5381,19294,9,1,80,0,23,1,0,0,0
65,28,Research & Development,5,4,Technical Degree,Male,Laboratory Technician,1,Single,3441,11179,1,1,80,0,2,2,2,2,2
68,44,Sales,1,5,Marketing,Female,Sales Executive,2,Divorced,5454,4009,5,1,80,1,9,4,3,1,3
70,35,Research & Development,11,2,Medical,Male,Healthcare Representative,3,Married,9884,8302,2,1,80,1,10,4,0,2,3
72,26,Sales,23,3,Marketing,Female,Sales Executive,2,Married,4157,21436,7,1,80,1,5,2,2,0,0
73,33,Research & Development,1,2,Life Sciences,Female,Research Director,3,Single,13458,15146,1,1,80,0,15,15,14,8,12
74,35,Sales,18,5,Life Sciences,Male,Sales Executive,3,Married,9069,11031,1,1,80,1,9,9,8,1,8
75,35,Research & Development,23,4,Medical,Female,Laboratory Technician,1,Married,4014,16002,3,1,80,1,4,2,2,2,2
76,31,Research & Development,7,4,Life Sciences,Male,Laboratory Technician,2,Divorced,5915,9528,3,1,80,1,10,7,7,1,7
77,37,Research & Development,1,4,Life Sciences,Male,Manufacturing Director,2,Divorced,5993,2689,1,1,80,1,7,7,5,0,7
78,32,Research & Development,1,3,Medical,Male,Manufacturing Director,2,Married,6162,10877,1,1,80,1,9,9,8,7,8
79,38,Research & Development,29,5,Life Sciences,Female,Laboratory Technician,2,Single,2406,5456,1,1,80,0,10,10,3,9,9
80,50,Research & Development,7,2,Medical,Female,Research Director,5,Divorced,18740,16701,5,1,80,1,29,27,3,13,8
81,59,Sales,25,3,Life Sciences,Female,Sales Executive,3,Single,7637,2354,7,1,80,0,28,21,16,7,9
83,36,Research & Development,8,3,Technical Degree,Female,Healthcare Representative,3,Divorced,10096,8202,1,1,80,3,17,17,14,12,8
84,55,Research & Development,8,3,Medical,Female,Manager,4,Divorced,14756,19730,2,1,80,3,21,5,0,0,2
85,36,Research & Development,11,3,Life Sciences,Male,Manufacturing Director,2,Single,6499,22656,1,1,80,0,6,6,5,0,3
86,45,Research & Development,7,3,Life Sciences,Male,Research Scientist,3,Divorced,9724,18787,2,1,80,1,25,1,0,0,0
88,35,Research & Development,1,3,Medical,Male,Research Scientist,1,Married,2194,5868,4,1,80,1,5,3,2,1,2
90,36,Research & Development,9,3,Medical,Male,Research Scientist,1,Married,3388,21777,0,1,80,1,2,1,0,0,0
91,59,Sales,1,1,Life Sciences,Female,Sales Executive,2,Single,5473,24668,7,1,80,0,20,4,3,1,3
94,29,Research & Development,2,3,Life Sciences,Male,Research Scientist,1,Married,2703,4956,0,1,80,1,6,5,4,0,4
95,31,Research & Development,1,4,Medical,Male,Research Scientist,1,Single,2501,18775,1,1,80,0,1,1,1,1,0
96,32,Research & Development,1,3,Life Sciences,Male,Research Scientist,2,Married,6220,7346,1,1,80,2,10,10,4,0,9
97,36,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,1,Married,3038,22002,3,1,80,0,5,1,0,0,0
98,31,Research & Development,8,4,Life Sciences,Female,Manufacturing Director,2,Single,4424,20682,1,1,80,0,11,11,7,1,8
100,35,Sales,1,4,Marketing,Male,Sales Executive,2,Single,4312,23016,0,1,80,0,16,15,13,2,8
101,45,Research & Development,6,4,Other,Male,Research Director,3,Married,13245,15067,4,1,80,0,17,0,0,0,0
102,37,Research & Development,7,4,Medical,Male,Research Director,3,Single,13664,25258,4,1,80,0,16,5,2,0,2
103,46,Human Resources,5,2,Medical,Male,Human Resources,2,Divorced,5021,10425,8,1,80,1,16,4,2,0,2
104,30,Research & Development,1,1,Life Sciences,Male,Laboratory Technician,2,Married,5126,15998,1,1,80,2,10,10,8,3,0
105,35,Research & Development,1,3,Medical,Male,Research Scientist,1,Single,2859,26278,1,1,80,0,6,6,4,0,4
106,55,Sales,1,2,Life Sciences,Male,Sales Executive,3,Married,10239,18092,3,1,80,1,24,1,0,1,0
107,38,Research & Development,6,3,Medical,Female,Research Scientist,2,Divorced,5329,15717,7,1,80,3,17,13,11,1,9
110,34,Research & Development,1,2,Medical,Male,Manufacturing Director,2,Married,4325,17736,1,1,80,0,5,5,2,1,3
112,56,Research & Development,7,3,Life Sciences,Male,Manufacturing Director,3,Single,7260,21698,4,1,80,0,37,6,4,0,2
113,23,Sales,2,1,Technical Degree,Male,Sales Representative,1,Divorced,2322,9518,3,1,80,1,3,0,0,0,0
116,51,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,1,Married,2075,18725,3,1,80,2,10,4,2,0,3
117,30,Research & Development,2,3,Life Sciences,Male,Healthcare Representative,2,Married,4152,15830,1,1,80,3,11,11,10,10,8
118,46,Sales,9,2,Medical,Male,Sales Executive,3,Single,9619,13596,1,1,80,0,9,9,8,4,7
119,40,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,4,Married,13503,14115,1,1,80,1,22,22,3,11,11
120,51,Sales,21,4,Marketing,Male,Sales Executive,2,Single,5441,8423,0,1,80,0,11,10,7,1,0
121,30,Sales,4,2,Medical,Female,Sales Executive,2,Divorced,5209,19760,1,1,80,3,11,11,8,2,7
124,46,Research & Development,1,3,Medical,Male,Healthcare Representative,3,Married,10673,3142,2,1,80,1,21,10,9,9,5
125,32,Sales,6,4,Medical,Male,Sales Executive,2,Single,5010,24301,1,1,80,0,12,11,8,5,7
126,54,Research & Development,2,4,Technical Degree,Female,Research Director,3,Married,13549,24001,9,1,80,1,16,4,3,0,3
128,24,Sales,3,2,Other,Female,Sales Executive,2,Married,4999,17519,0,1,80,1,4,3,2,0,2
129,28,Sales,4,3,Medical,Male,Sales Executive,2,Married,4221,8863,1,1,80,0,5,5,4,0,4
131,58,Sales,10,4,Medical,Male,Sales Executive,4,Single,13872,24409,0,1,80,0,38,37,10,1,8
132,44,Research & Development,23,3,Medical,Male,Laboratory Technician,2,Married,2042,25043,4,1,80,1,17,3,2,1,2
133,37,Human Resources,6,4,Human Resources,Male,Human Resources,1,Divorced,2073,23648,4,1,80,0,7,3,2,0,2
134,32,Research & Development,1,1,Life Sciences,Male,Research Scientist,1,Single,2956,15178,1,1,80,0,1,1,0,0,0
137,20,Research & Development,6,3,Life Sciences,Female,Laboratory Technician,1,Single,2926,19783,1,1,80,0,1,1,0,1,0
138,34,Research & Development,6,4,Other,Female,Research Scientist,2,Single,4809,12482,1,1,80,0,16,16,13,2,10
139,37,Research & Development,2,2,Life Sciences,Male,Healthcare Representative,2,Divorced,5163,15850,5,1,80,1,17,1,0,0,0
140,59,Human Resources,2,4,Human Resources,Female,Manager,5,Married,18844,21922,9,1,80,1,30,3,2,2,2
141,50,Research & Development,1,3,Life Sciences,Female,Research Director,5,Married,18172,9755,3,1,80,0,28,8,3,0,7
142,25,Sales,5,3,Marketing,Male,Sales Executive,2,Single,5744,26959,1,1,80,0,6,6,4,0,3
143,25,Research & Development,7,1,Medical,Male,Research Scientist,1,Married,2889,26897,1,1,80,2,2,2,2,2,1
144,22,Research & Development,15,3,Medical,Female,Laboratory Technician,1,Single,2871,23785,1,1,80,0,1,0,0,0,0
145,51,Research & Development,1,4,Medical,Female,Healthcare Representative,3,Single,7484,25796,3,1,80,0,23,13,12,12,8
147,34,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,2,Single,6074,22887,1,1,80,0,9,9,7,0,6
148,54,Human Resources,26,3,Human Resources,Female,Manager,4,Single,17328,13871,2,1,80,0,23,5,3,4,4
150,24,Research & Development,18,1,Life Sciences,Male,Laboratory Technician,1,Married,2774,13257,0,1,80,1,6,5,3,1,2
151,34,Research & Development,6,4,Life Sciences,Female,Research Scientist,2,Divorced,4505,15000,6,1,80,1,12,1,0,0,0
152,37,Sales,3,3,Life Sciences,Male,Sales Executive,3,Single,7428,14506,2,1,80,0,12,5,3,1,3
153,34,Research & Development,5,3,Medical,Female,Manager,3,Single,11631,5615,2,1,80,0,14,11,10,5,8
154,36,Sales,11,2,Technical Degree,Female,Sales Executive,3,Married,9738,22952,0,1,80,1,10,9,7,2,8
155,36,Research & Development,3,2,Life Sciences,Female,Laboratory Technician,1,Divorced,2835,2561,5,1,80,1,7,1,0,0,0
158,43,Sales,26,2,Life Sciences,Male,Manager,4,Married,16959,19494,1,1,80,2,25,25,12,4,12
159,30,Research & Development,23,3,Life Sciences,Male,Research Scientist,1,Divorced,2613,22310,1,1,80,3,10,10,7,0,9
160,33,Sales,22,2,Marketing,Male,Sales Executive,2,Married,6146,15480,0,1,80,1,8,7,7,0,7
161,56,Research & Development,14,4,Life Sciences,Female,Research Scientist,1,Married,4963,4510,9,1,80,3,7,5,4,4,3
162,51,Research & Development,6,3,Life Sciences,Male,Research Director,5,Single,19537,6462,7,1,80,0,23,20,18,15,15
163,31,Sales,6,4,Life Sciences,Male,Sales Executive,2,Married,6172,20739,4,1,80,0,12,7,7,7,7
164,26,Research & Development,6,3,Other,Female,Research Scientist,1,Married,2368,23300,1,1,80,0,5,5,4,4,3
165,58,Research & Development,23,4,Medical,Female,Healthcare Representative,3,Married,10312,3465,1,1,80,1,40,40,10,15,6
167,19,Sales,22,1,Marketing,Male,Sales Representative,1,Single,1675,26820,1,1,80,0,0,0,0,0,0
169,22,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,1,Married,2523,19299,0,1,80,1,3,2,1,2,1
170,49,Research & Development,20,4,Medical,Female,Manufacturing Director,2,Married,6567,5549,1,1,80,0,16,15,11,5,11
171,43,Research & Development,28,3,Medical,Female,Research Scientist,1,Single,4739,16090,4,1,80,0,18,3,2,1,2
174,50,Sales,12,3,Marketing,Female,Sales Executive,3,Single,9208,6645,4,1,80,0,16,2,2,2,1
175,31,Sales,20,3,Life Sciences,Female,Sales Executive,2,Married,4559,24788,3,1,80,1,4,2,2,2,2
176,41,Sales,9,1,Life Sciences,Male,Sales Executive,3,Divorced,8189,21196,3,1,80,1,12,9,7,0,7
177,26,Human Resources,25,1,Life Sciences,Female,Human Resources,1,Married,2942,8916,1,1,80,1,8,8,7,5,7
178,36,Research & Development,6,2,Medical,Male,Manufacturing Director,2,Divorced,4941,2819,6,1,80,2,7,3,2,0,1
179,51,Research & Development,8,4,Life Sciences,Male,Manufacturing Director,3,Single,10650,25150,2,1,80,0,18,4,2,0,3
182,39,Sales,4,4,Life Sciences,Female,Sales Executive,2,Married,5902,14590,4,1,80,1,17,15,11,5,9
183,25,Sales,28,3,Life Sciences,Male,Sales Executive,2,Married,8639,24835,2,1,80,0,6,2,2,2,2
184,30,Human Resources,9,3,Human Resources,Male,Human Resources,2,Married,6347,13982,0,1,80,0,12,11,9,4,7
190,32,Research & Development,9,3,Medical,Female,Laboratory Technician,1,Single,4200,10224,7,1,80,0,10,5,4,0,4
192,45,Research & Development,29,3,Medical,Male,Research Scientist,1,Single,3452,9752,5,1,80,0,9,6,5,0,3
193,38,Research & Development,3,5,Technical Degree,Female,Research Scientist,2,Single,4317,2302,3,1,80,0,19,3,2,2,2
194,30,Research & Development,18,3,Life Sciences,Female,Research Scientist,1,Single,2632,23910,1,1,80,0,5,5,4,0,4
195,32,Sales,9,2,Medical,Male,Sales Executive,2,Divorced,4668,22812,0,1,80,3,9,8,7,0,7
197,30,Research & Development,5,3,Technical Degree,Female,Research Scientist,1,Divorced,3204,10415,5,1,80,1,8,3,2,2,2
198,30,Research & Development,2,1,Medical,Male,Laboratory Technician,1,Single,2720,11162,0,1,80,0,6,5,3,1,2
199,41,Research & Development,10,3,Life Sciences,Male,Manager,4,Divorced,17181,12888,4,1,80,1,21,7,6,7,7
200,41,Research & Development,9,4,Life Sciences,Male,Laboratory Technician,1,Married,2238,6961,2,1,80,1,7,5,0,1,4
201,19,Research & Development,3,1,Medical,Female,Laboratory Technician,1,Single,1483,16102,1,1,80,0,1,1,0,0,0
202,40,Research & Development,26,3,Medical,Female,Research Scientist,2,Divorced,5605,8504,1,1,80,1,20,20,7,2,13
204,35,Sales,1,5,Marketing,Male,Sales Executive,3,Married,7295,11439,1,1,80,2,10,10,8,0,6
205,53,Sales,6,2,Marketing,Male,Sales Representative,2,Married,2306,16047,2,1,80,1,13,7,7,4,5
206,45,Research & Development,9,3,Life Sciences,Male,Laboratory Technician,2,Divorced,2348,10901,8,1,80,1,20,17,9,0,15
207,32,Sales,8,3,Marketing,Female,Sales Executive,3,Single,8998,15589,1,1,80,0,9,9,8,3,7
208,29,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,2,Married,4319,26283,1,1,80,1,10,10,7,0,9
211,51,Research & Development,7,4,Medical,Male,Manufacturing Director,2,Married,6132,13983,2,1,80,0,10,1,0,0,0
214,58,Research & Development,9,3,Medical,Female,Research Scientist,1,Married,3346,11873,4,1,80,1,9,1,0,0,0
215,40,Sales,4,4,Marketing,Male,Sales Executive,3,Married,10855,8552,7,1,80,1,15,12,11,2,11
216,34,Sales,2,4,Marketing,Female,Sales Representative,1,Married,2231,11314,6,1,80,1,6,4,3,1,2
217,22,Research & Development,19,1,Medical,Male,Research Scientist,1,Married,2323,11992,1,1,80,2,2,2,2,2,2
218,27,Research & Development,9,3,Medical,Male,Research Scientist,1,Divorced,2024,5970,6,1,80,1,6,2,2,2,2
221,28,Research & Development,21,3,Medical,Male,Research Scientist,1,Married,2713,6672,1,1,80,1,5,5,2,0,2
223,57,Research & Development,24,2,Life Sciences,Male,Healthcare Representative,3,Divorced,9439,23402,3,1,80,1,12,5,3,1,4
224,27,Research & Development,3,3,Medical,Male,Research Scientist,1,Divorced,2566,25326,1,1,80,1,1,1,1,0,1
226,50,Research & Development,11,3,Life Sciences,Female,Manager,5,Single,19926,17053,3,1,80,0,21,5,4,4,4
227,41,Research & Development,14,3,Life Sciences,Male,Research Scientist,1,Divorced,2451,4609,4,1,80,1,13,9,8,1,8
228,30,Sales,5,3,Life Sciences,Female,Sales Executive,3,Married,9419,8053,2,1,80,1,12,10,9,7,4
230,38,Sales,1,4,Life Sciences,Female,Sales Executive,2,Single,8686,12930,4,1,80,0,12,8,3,0,7
231,32,Research & Development,6,5,Life Sciences,Male,Research Scientist,1,Single,3038,12430,3,1,80,0,8,5,4,1,4
233,27,Research & Development,17,3,Technical Degree,Male,Research Scientist,1,Married,3058,13364,0,1,80,1,6,5,2,1,1
235,19,Sales,1,1,Technical Degree,Female,Sales Representative,1,Single,2325,20989,0,1,80,0,1,0,0,0,0
238,36,Research & Development,3,2,Medical,Male,Laboratory Technician,1,Single,2088,15062,4,1,80,0,13,8,7,7,2
239,30,Research & Development,9,3,Medical,Male,Laboratory Technician,2,Divorced,3072,11012,1,1,80,2,12,12,9,6,10
240,45,Sales,4,2,Life Sciences,Female,Sales Executive,2,Divorced,5006,6319,4,1,80,1,9,5,4,0,3
241,56,Research & Development,8,3,Life Sciences,Female,Research Scientist,1,Divorced,4257,13939,4,1,80,1,19,2,2,2,2
242,33,Research & Development,2,3,Life Sciences,Male,Research Scientist,1,Single,2500,10515,0,1,80,0,4,3,1,0,2
243,19,Research & Development,2,3,Life Sciences,Male,Laboratory Technician,1,Single,1102,9241,1,1,80,0,1,1,0,1,0
244,46,Sales,1,2,Marketing,Female,Sales Executive,3,Divorced,10453,2137,1,1,80,3,24,24,13,15,7
245,38,Research & Development,9,2,Life Sciences,Female,Laboratory Technician,1,Single,2288,6319,1,1,80,0,2,2,2,2,1
246,31,Research & Development,12,1,Medical,Female,Research Scientist,1,Married,3929,6984,8,1,80,1,7,4,2,0,2
247,34,Research & Development,27,2,Medical,Female,Research Scientist,1,Single,2311,5711,2,1,80,0,9,3,2,1,2
248,41,Sales,20,2,Marketing,Female,Sales Representative,1,Single,3140,21728,1,1,80,0,4,4,3,0,2
249,50,Research & Development,1,3,Medical,Male,Laboratory Technician,1,Married,3690,3425,2,1,80,1,5,3,2,0,2
250,53,Research & Development,13,2,Medical,Female,Manufacturing Director,2,Divorced,4450,26250,1,1,80,2,5,4,2,1,3
252,33,Research & Development,14,3,Medical,Female,Research Scientist,1,Married,2756,4673,1,1,80,1,8,8,7,1,6
253,40,Research & Development,4,1,Medical,Female,Manager,5,Married,19033,6499,1,1,80,1,21,20,8,9,9
254,55,Research & Development,14,4,Medical,Male,Research Director,5,Single,18722,13339,8,1,80,0,36,24,15,2,15
256,34,Research & Development,2,1,Life Sciences,Male,Manufacturing Director,2,Married,9547,14074,1,1,80,0,10,10,9,1,9
258,51,Research & Development,3,3,Medical,Female,Healthcare Representative,4,Single,13734,7192,3,1,80,0,21,7,7,1,0
259,52,Research & Development,1,4,Life Sciences,Male,Manager,5,Married,19999,5678,0,1,80,1,34,33,18,11,9
260,27,Research & Development,9,3,Medical,Female,Research Scientist,1,Single,2279,11781,1,1,80,0,7,7,7,0,3
261,35,Research & Development,23,2,Life Sciences,Male,Manufacturing Director,2,Married,5916,15497,3,1,80,0,8,1,0,0,1
262,43,Research & Development,7,3,Medical,Male,Research Scientist,1,Divorced,2089,5228,4,1,80,3,7,5,4,2,2
264,45,Research & Development,2,2,Medical,Male,Manager,4,Married,16792,20462,9,1,80,1,22,20,8,11,8
267,37,Research & Development,21,3,Life Sciences,Male,Research Scientist,1,Married,3564,22977,1,1,80,1,8,8,7,1,7
269,35,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Single,4425,15986,5,1,80,0,10,6,2,1,2
270,42,Research & Development,21,2,Medical,Female,Manufacturing Director,2,Divorced,5265,16439,2,1,80,1,11,5,3,0,2
271,38,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,2,Married,6553,7259,9,1,80,0,14,1,0,0,0
273,38,Research & Development,29,3,Technical Degree,Male,Manufacturing Director,2,Married,6261,4185,3,1,80,1,9,7,7,1,7
274,27,Research & Development,1,1,Technical Degree,Male,Manufacturing Director,2,Married,4298,9679,5,1,80,1,6,2,2,2,0
275,49,Research & Development,18,4,Life Sciences,Male,Manufacturing Director,2,Divorced,6804,23793,1,1,80,2,7,7,7,1,7
277,34,Research & Development,10,4,Medical,Male,Research Scientist,1,Divorced,3815,5972,1,1,80,1,5,5,3,2,0
281,40,Research & Development,19,2,Medical,Male,Laboratory Technician,2,Married,2741,16523,8,1,80,1,15,7,2,3,7
282,38,Research & Development,29,1,Medical,Male,Healthcare Representative,2,Married,6673,11354,7,1,80,0,17,1,0,0,0
283,29,Sales,27,3,Marketing,Female,Sales Executive,3,Married,7639,24525,1,1,80,3,10,10,4,1,9
284,22,Research & Development,5,3,Life Sciences,Male,Research Scientist,1,Divorced,2328,12392,1,1,80,1,4,4,2,2,2
286,36,Research & Development,18,1,Medical,Female,Laboratory Technician,1,Single,2153,7703,1,1,80,0,8,8,1,1,7
287,40,Research & Development,9,5,Life Sciences,Male,Healthcare Representative,2,Married,4876,14242,9,1,80,1,5,3,2,0,2
288,46,Research & Development,1,4,Medical,Male,Healthcare Representative,3,Divorced,9396,12368,7,1,80,1,17,4,2,0,3
291,32,Sales,4,4,Medical,Male,Sales Executive,3,Married,10400,25812,1,1,80,0,14,14,8,9,8
292,30,Research & Development,1,1,Life Sciences,Male,Manufacturing Director,3,Single,8474,20925,1,1,80,0,12,11,8,5,8
293,27,Sales,20,3,Life Sciences,Female,Sales Executive,2,Single,9981,12916,1,1,80,0,7,7,7,0,7
296,51,Research & Development,8,4,Life Sciences,Male,Research Director,3,Married,12490,15736,5,1,80,2,16,10,9,4,7
297,30,Research & Development,3,3,Technical Degree,Female,Research Scientist,1,Single,2657,8556,5,1,80,0,8,5,2,0,4
298,41,Sales,6,3,Life Sciences,Female,Manager,3,Single,13591,14674,3,1,80,0,16,1,0,0,0
299,30,Sales,26,4,Marketing,Female,Sales Executive,2,Single,6696,22967,5,1,80,0,9,6,3,0,1
300,29,Research & Development,1,3,Technical Degree,Male,Research Scientist,1,Single,2058,19757,0,1,80,0,7,6,2,1,5
302,45,Sales,6,3,Medical,Female,Sales Executive,3,Single,8865,16840,6,1,80,0,23,19,7,12,8
303,54,Sales,3,3,Marketing,Female,Sales Executive,2,Married,5940,17011,2,1,80,1,16,6,2,0,5
304,36,Research & Development,5,2,Life Sciences,Male,Laboratory Technician,2,Single,5914,9945,8,1,80,0,16,13,11,3,7
305,33,Research & Development,4,4,Medical,Female,Research Scientist,1,Married,2622,13248,6,1,80,0,7,3,2,1,1
306,37,Research & Development,11,3,Other,Male,Research Director,3,Divorced,12185,10056,1,1,80,3,10,10,8,0,7
307,38,Sales,3,3,Life Sciences,Male,Sales Executive,3,Divorced,10609,9647,0,1,80,2,17,16,10,5,13
308,31,Research & Development,1,4,Medical,Male,Manufacturing Director,2,Married,4345,4381,0,1,80,1,6,5,4,1,4
309,59,Research & Development,3,3,Life Sciences,Male,Research Scientist,1,Married,2177,8456,3,1,80,1,7,1,0,0,0
311,37,Sales,4,4,Marketing,Male,Sales Representative,1,Divorced,2793,2539,4,1,80,1,13,9,8,5,8
312,29,Sales,1,1,Medical,Female,Sales Executive,3,Married,7918,6599,1,1,80,1,11,11,10,4,1
314,35,Sales,1,3,Marketing,Female,Sales Executive,3,Single,8789,9096,1,1,80,0,10,10,7,0,8
315,29,Research & Development,18,1,Medical,Male,Research Scientist,1,Single,2389,14961,1,1,80,0,4,4,3,0,1
316,52,Research & Development,2,3,Life Sciences,Female,Laboratory Technician,1,Single,3212,3300,7,1,80,0,6,2,2,2,2
319,42,Research & Development,4,2,Technical Degree,Male,Manager,5,Married,19232,4933,1,1,80,0,22,22,17,11,15
